Declination (REDO),REG2,REG1,WEG2,Partisan Bias,Mean-Median,EG
0.549857451676468,-0.350525157169644,-0.486931023698094,-0.029386351968865,-0.333333333333333,-0.055398172177394,-0.131362291297523
0.431088391344741,-0.342064213559664,-0.486931023698094,-0.029386351968865,-0.333333333333333,-0.055599559697725,-0.131362291297523
100,-0.315857654033736,-0.486931023698094,-0.023419286705288,-0.333333333333333,-0.043020264413716,-0.133943843143869
100,-0.315857654033736,-0.482275301565008,-0.194072182014023,-0.166666666666666,-0.042773583382772,-0.133943843143869
-0.071130165692884,-0.315857654033736,-0.49209034147631,-0.194072182014023,-0.166666666666666,-0.041799516206256,-0.296048121342682
-0.107764663348957,-0.315857654033736,-0.830597981304061,-0.194072182014023,0,-0.041987859381771,-0.296048121342682
-0.107764663348957,-0.300697966332911,-0.830597981304061,-0.194072182014023,0.166666666666666,-0.041907968900306,-0.296048121342682
100,-0.31943122180359,-0.492217163006885,-0.194072182014023,0.166666666666666,-0.047101858347104,-0.296048121342682
100,-0.31943122180359,-0.492217163006885,-0.194072182014023,0.166666666666666,-0.049719840533958,-0.121915614866589
100,-0.303547919876929,-0.479991940707061,-0.194072182014023,0.166666666666666,-0.022121157981646,-0.129624759549639
100,-0.303547919876929,-0.479991940707061,-0.194072182014023,0.166666666666666,-0.051473242575717,-0.296048121342682
100,-0.303547919876929,-0.830597981304061,-0.194072182014023,0.166666666666666,-0.050647829892989,-0.122765534537008
100,-0.303547919876929,-0.830597981304061,-0.194072182014023,0.166666666666666,-0.044917753200695,-0.296048121342682
100,-0.303547919876929,-0.830597981304061,-0.194072182014023,0.166666666666666,-0.043057832529455,-0.132352651668094
100,-0.321073601473996,-0.830597981304061,-0.194072182014023,0.166666666666666,-0.034169902352101,-0.134592849714578
100,-0.33118264418587,-0.490050036954436,-0.02270339915679,0.166666666666666,-0.035917229793629,-0.128664504872351
100,-0.661195962608122,-0.490050036954436,-0.02270339915679,0.166666666666666,-0.036146948702939,-0.128664504872351
100,-0.661195962608122,-0.490050036954436,-0.020938740465414,0.166666666666666,-0.038192872859819,-0.296048121342682
100,-0.661195962608122,-0.490050036954436,-0.021850148706292,0.166666666666666,-0.034683398907918,-0.296048121342682
100,-0.661195962608122,-0.490050036954436,-0.021850148706292,0.166666666666666,-0.034225942683328,-0.296048121342682
100,-0.661195962608122,-0.457973625111322,-0.021850148706292,0.166666666666666,-0.018609270811852,-0.123488446733475
0.042826896126231,-0.321078443145276,-0.457973625111322,-0.021850148706292,0.166666666666666,-0.013636343266303,-0.123488446733475
0.042826896126231,-0.330437265550753,-0.485559573453458,-0.028494359406803,0.166666666666666,-0.021467009244563,-0.13012482886211
0.012487785832602,-0.311417279181808,-0.482982500631598,-0.028494359406803,0.166666666666666,-0.02289835066524,-0.13012482886211
0.012487785832602,-0.33038643033824,-0.482982500631598,-0.0302912639504,0.166666666666666,-0.023094987008697,-0.13012482886211
100,-0.33038643033824,-0.495244760985553,-0.0302912639504,0,-0.028414529521542,-0.128578713379059
100,-0.33038643033824,-0.454432827308451,-0.0302912639504,-0.166666666666666,-0.038956663556667,-0.296048121342682
100,-0.33038643033824,-0.454432827308451,-0.0302912639504,-0.166666666666666,-0.038813184644682,-0.136136993855609
100,-0.33038643033824,-0.488184758687768,-0.031210707527589,0,-0.033263613547176,-0.136136993855609
100,-0.661195962608122,-0.488184758687768,-0.031210707527589,0,-0.038705559075539,-0.136136993855609
100,-0.309060298121418,-0.488184758687768,-0.024502533861648,0,-0.038466924688684,-0.136136993855609
100,-0.309060298121418,-0.488184758687768,-0.035157948195664,0,-0.039466845934342,-0.133905034810399
100,-0.661195962608122,-0.488184758687768,-0.035157948195664,0,-0.039029997711894,-0.133905034810399
100,-0.661195962608122,-0.488184758687768,-0.029577937795741,0,-0.03826060219012,-0.133905034810399
-0.126836319250893,-0.322116341383685,-0.488184758687768,-0.029577937795741,0.166666666666666,-0.038755464457462,-0.296048121342682
-0.127353677018027,-0.322116341383685,-0.488184758687768,-0.02769256096446,0.166666666666666,-0.039514003230089,-0.296048121342682
-0.127353677018027,-0.323938892874984,-0.488184758687768,-0.02769256096446,0.166666666666666,-0.038980121073248,-0.119311049924282
100,-0.323938892874984,-0.488184758687768,-0.02769256096446,0.166666666666666,-0.034126804271117,-0.119311049924282
100,-0.323938892874984,-0.488184758687768,-0.02769256096446,0.166666666666666,-0.034786932956997,-0.119311049924282
0.037444634319928,-0.323938892874984,-0.488184758687768,-0.194072182014023,0,-0.034216389737846,-0.296048121342682
0.037444634319928,-0.323938892874984,-0.488184758687768,-0.024346733275232,-0.166666666666666,0.003313124700055,-0.296048121342682
0.037444634319928,-0.312247056758024,-0.488184758687768,-0.031974922689906,0,0.006204236925505,-0.296048121342682
0.239857787187944,-0.312247056758024,-0.488184758687768,-0.031974922689906,0,0.004384308974261,-0.130702856609815
0.243668798499723,-0.31809408061696,-0.488184758687768,-0.031974922689906,0,0.004159220564511,-0.130702856609815
0.223674129620014,-0.661195962608122,-0.488184758687768,-0.030811386209979,-0.166666666666666,0.003915456644725,-0.130702856609815
0.225746498371859,-0.661195962608122,-0.488184758687768,-0.030811386209979,-0.166666666666666,0.003488061562472,-0.129161929463534
0.223554787450636,-0.325910951115046,-0.488184758687768,-0.194072182014023,-0.166666666666666,0.016184753994921,-0.129161929463534
100,-0.325910951115046,-0.488184758687768,-0.194072182014023,0,0.01819227206244,-0.129161929463534
100,-0.325910951115046,-0.488184758687768,-0.031212206666147,0,0.01717801394142,-0.124460684362679
100,-0.325910951115046,-0.499358775147451,-0.031212206666147,0,0.018072798228136,-0.124460684362679
100,-0.325910951115046,-0.482430483916076,-0.031484661083317,0,0.016944912711783,-0.124460684362679
100,-0.325910951115046,-0.482430483916076,-0.031484661083317,-0.166666666666666,0.003073390985278,-0.124460684362679
100,-0.325910951115046,-0.482430483916076,-0.018266899184326,-0.166666666666666,0.002140603567305,-0.124460684362679
100,-0.325910951115046,-0.482430483916076,-0.018266899184326,-0.166666666666666,-0.007441040074884,-0.124460684362679
100,-0.325910951115046,-0.479359956503651,-0.018266899184326,-0.166666666666666,-0.004696122874,-0.124460684362679
100,-0.298960783741827,-0.479359956503651,-0.018266899184326,0,0.017308405499442,-0.124460684362679
100,-0.30812938268065,-0.479359956503651,-0.018266899184326,-0.166666666666666,-0.003174497326163,-0.124460684362679
100,-0.661195962608122,-0.472580523786967,-0.018266899184326,0,0.017170622581705,-0.124460684362679
100,-0.661195962608122,-0.482469084297653,-0.194072182014023,-0.166666666666666,0.017301172250733,-0.124460684362679
0.310333593497272,-0.661195962608122,-0.482469084297653,-0.194072182014023,-0.166666666666666,0.021307466907009,-0.124460684362679
0.310333593497272,-0.326181607511307,-0.482469084297653,-0.194072182014023,-0.166666666666666,0.00399244830699,-0.124460684362679
0.295887823039122,-0.326181607511306,-0.484795559357568,-0.194072182014023,0,0.001153661014161,-0.124984248929425
0.293308782286451,-0.326181607511306,-0.484795559357568,-0.194072182014023,0,-0.010678406353024,0.039196965003682
0.337319663125805,-0.326181607511306,-0.484795559357568,-0.194072182014023,0,-0.010516531460211,-0.130118756593636
0.343220326253757,-0.326181607511307,-0.484795559357568,-0.194072182014023,0,-0.015200230339165,-0.130118756593636
0.343220326253757,-0.326181607511307,-0.830597981304061,-0.194072182014024,-0.166666666666666,0.005021586583822,-0.130118756593636
0.343220326253757,-0.326181607511307,-0.830597981304061,-0.194072182014023,0,-0.009383744846505,-0.130118756593636
0.343220326253757,-0.326181607511307,-0.830597981304061,-0.194072182014024,0,-0.009071250241763,-0.130118756593636
0.35355333564778,-0.326181607511306,-0.472212380823227,-0.027242840643487,-0.166666666666666,-0.009106584007861,-0.128263089309951
0.35355333564778,-0.326181607511306,-0.830597981304061,-0.194072182014024,-0.166666666666666,-0.009453941712245,-0.128263089309951
-0.057583735949108,-0.326181607511306,-0.830597981304061,-0.020770716466476,0,0.021204201312423,-0.117864895166327
-0.057583735949108,-0.661195962608122,-0.830597981304061,-0.020770716466476,0,0.011110255866537,-0.122995160671836
-0.061098477263932,-0.661195962608122,-0.830597981304061,-0.020770716466476,0.166666666666666,-0.018367389440515,-0.122995160671836
-0.070241936831717,-0.291405895857335,-0.49057369864663,-0.020770716466476,0.166666666666666,-0.016958678685604,-0.121287607823524
-0.060586937420866,-0.285567029072921,-0.48624380939184,-0.020770716466476,0.166666666666666,-0.019684641297475,-0.121287607823524
-0.060586937420866,-0.285567029072921,-0.48624380939184,-0.020770716466476,0.166666666666666,-0.02960538301867,-0.121287607823524
-0.060733119584326,-0.285567029072921,-0.48624380939184,-0.020694144021438,0.166666666666666,-0.029247404396369,-0.121287607823524
0.470564616177675,-0.285567029072921,-0.48624380939184,-0.020694144021438,0.166666666666666,-0.029358978710359,-0.121287607823524
0.405463966084137,-0.314101142804554,-0.48624380939184,-0.020694144021438,0.166666666666666,-0.029696295270774,-0.121287607823524
0.491529499231959,-0.314101142804554,-0.492419395534902,-0.023554972975814,0,-0.029279451324988,-0.121287607823524
0.489284611770129,-0.314101142804554,-0.830597981304061,-0.02965671459357,0,-0.026086016873098,-0.123519100149978
0.489284611770129,-0.314101142804554,-0.830597981304061,-0.026229699291981,0,-0.028584251400575,-0.120898991968329
0.371127742278844,-0.314101142804554,-0.830597981304061,-0.026229699291981,0,-0.028084685847479,-0.120898991968329
0.360614046479436,-0.661195962608122,-0.830597981304061,-0.023849508296495,0.166666666666666,0.004921980899533,-0.131625167856957
0.277461928957709,-0.293180074636795,-0.830597981304061,-0.029198195302809,0.166666666666666,0.005016348606061,-0.131625167856957
0.241898106849694,-0.293180074636796,-0.830597981304061,-0.025737385495644,0.166666666666666,0.005200579183343,-0.131625167856957
0.174701909979765,-0.293180074636795,-0.830597981304061,-0.02456511976877,0.166666666666666,0.001437903419167,-0.131625167856957
0.184713197707537,-0.661195962608122,-0.830597981304061,-0.026711824537301,0.166666666666666,0.006929085550817,-0.131625167856957
0.413132782682228,-0.661195962608122,-0.830597981304061,-0.026711824537301,0.166666666666666,0.00516913601872,-0.131625167856957
0.413132782682228,-0.661195962608122,-0.830597981304061,-0.026273111008297,0.166666666666666,0.006660857248303,-0.131625167856957
0.465574507070566,-0.661195962608122,-0.830597981304061,-0.026273111008297,0,0.006564999399564,-0.131625167856957
0.443493943446873,-0.661195962608122,-0.830597981304061,-0.028764439363205,0,-0.003718606265209,-0.131625167856957
0.404409760098892,-0.661195962608122,-0.830597981304061,-0.029981875460239,0,0.018484034763597,-0.131625167856957
0.404409760098892,-0.661195962608122,-0.830597981304061,-0.029981875460239,0,0.015816476308355,-0.131625167856957
100,-0.661195962608122,-0.830597981304061,-0.029981875460239,0,0.01472209321895,-0.132502053861854
100,-0.661195962608122,-0.489447534170877,-0.027913197336597,0,0.011938770617008,-0.136424712757158
0.274410859461293,-0.661195962608122,-0.489447534170877,-0.032863372659565,0,0.006849197508216,-0.136424712757158
0.274410859461293,-0.661195962608122,-0.489447534170877,-0.032863372659565,0,0.008074043144615,-0.136424712757158
0.289108669550812,-0.661195962608122,-0.489447534170877,-0.032863372659565,0,0.024677013343267,-0.136424712757158
0.289108669550812,-0.661195962608122,-0.489447534170877,-0.032863372659565,0,0.015985801777553,-0.136424712757158
0.267022190716709,-0.661195962608122,-0.489447534170877,-0.032863372659565,0,-0.013224581289643,-0.127338408355605
0.267022190716709,-0.661195962608122,-0.484729936912449,-0.194072182014024,-0.166666666666666,-0.005997684007966,-0.127338408355605
0.267022190716709,-0.661195962608122,-0.830597981304061,-0.194072182014024,-0.166666666666666,-0.006240054941985,-0.127338408355605
0.267022190716709,-0.661195962608122,-0.458217910670573,-0.194072182014024,0,0.007976589986391,-0.127338408355605
0.273841520553421,-0.661195962608122,-0.830597981304061,-0.194072182014024,-0.166666666666666,0.020066779265554,-0.127338408355605
0.273841520553421,-0.661195962608122,-0.830597981304061,-0.194072182014024,-0.166666666666666,0.019958410177038,-0.131081134523417
0.273841520553421,-0.661195962608122,-0.830597981304061,-0.194072182014024,-0.166666666666666,0.022682667243298,-0.131081134523417
0.289202072427239,-0.336243946560427,-0.830597981304061,-0.039249553003107,-0.166666666666666,0.011762564761007,-0.131081134523417
0.27340809250133,-0.336243946560427,-0.830597981304061,-0.024204160507566,-0.166666666666666,0.009371189509033,-0.131081134523417
0.27340809250133,-0.303736881558864,-0.478261003923727,-0.194072182014024,0,0.025311192359112,-0.131081134523417
0.368769736816776,-0.303736881558864,-0.478261003923727,-0.194072182014024,-0.166666666666666,0.027760874956596,-0.131081134523417
0.300187235493465,-0.329563506923135,-0.478261003923727,-0.194072182014024,-0.166666666666666,0.027714958076803,-0.128979290228889
0.300187235493465,-0.661195962608122,-0.478261003923727,-0.194072182014024,-0.166666666666666,0.028262240368374,-0.126830894193803
0.300187235493465,-0.661195962608122,-0.478261003923727,-0.029786911217882,-0.166666666666666,0.027230607104732,-0.126830894193803
0.300187235493465,-0.661195962608122,-0.478261003923727,-0.029786911217882,-0.166666666666666,0.026730332216943,-0.122491326001313
0.300187235493465,-0.661195962608122,-0.478261003923727,-0.029786911217882,0,-0.009375209799353,-0.124615068587431
0.337492006617691,-0.661195962608122,-0.478261003923727,-0.194072182014024,0,-0.017032647812875,-0.124615068587431
0.337492006617691,-0.661195962608122,-0.478261003923727,-0.029740430112165,-0.166666666666666,-0.017205863683528,-0.12353567199922
0.337492006617691,-0.661195962608122,-0.478261003923727,-0.029740430112165,0,-0.026932060689446,-0.124775972575255
0.283615969012681,-0.2910241394085,-0.478261003923727,-0.029740430112165,0,-0.024539741736454,-0.124636950048606
0.129147406397842,-0.2910241394085,-0.478261003923727,-0.030603439545318,0,-0.023157709771964,-0.124636950048606
0.129147406397842,-0.334666736870472,-0.478261003923727,-0.030603439545318,-0.166666666666666,-0.02344318685845,-0.124636950048606
0.129147406397842,-0.334666736870472,-0.478261003923727,-0.030603439545318,-0.166666666666666,-0.023494499359688,-0.124636950048606
0.097960894334902,-0.328636110077797,-0.478261003923727,-0.030603439545318,0,-0.023361745412682,-0.124636950048606
-0.110774395031714,-0.661195962608122,-0.478261003923727,-0.030603439545318,0.166666666666666,-0.014031496172307,-0.124830240797737
-0.110774395031714,-0.661195962608122,-0.478261003923727,-0.030603439545318,0,-0.019970323356051,-0.124830240797737
0.372894474850817,-0.306661373824365,-0.478261003923727,-0.030603439545318,0,-0.003046805198009,-0.124830240797737
0.372894474850817,-0.330406662896674,-0.478261003923727,-0.030603439545318,0,-0.03386459121566,-0.124830240797737
0.362054905460602,-0.331740864831864,-0.478261003923727,-0.030603439545318,0,-0.040841032787883,-0.124830240797737
0.338519647901764,-0.331740864831864,-0.478261003923727,-0.030603439545318,-0.166666666666666,-0.03999561725157,-0.127654075915514
0.350753840074235,-0.661195962608122,-0.478261003923727,-0.030603439545318,-0.166666666666666,-0.040410088162335,-0.124359520917932
0.350753840074235,-0.309750884247024,-0.478261003923727,-0.030603439545318,-0.166666666666666,-0.040590761440094,-0.122226769797269
0.350858223222831,-0.309750884247024,-0.478261003923727,-0.030603439545318,-0.166666666666666,0.020159007203124,-0.122226769797269
0.055151816732179,-0.661195962608122,-0.478261003923727,-0.026974853990348,-0.166666666666666,0.020523667912541,-0.122226769797269
0.055151816732179,-0.661195962608122,-0.478261003923727,-0.026974853990348,-0.166666666666666,0.02093119331274,-0.122226769797269
0.066180026023392,-0.661195962608122,-0.478261003923727,-0.028326380632352,-0.166666666666666,0.009467155511404,-0.122226769797269
0.066180026023392,-0.329302566583342,-0.478261003923727,-0.028326380632352,-0.166666666666666,0.00994761385171,-0.129761970957888
0.066180026023392,-0.329302566583342,-0.478261003923727,-0.028326380632352,0.166666666666666,0.012230865662053,-0.125380055401024
0.049772345569131,-0.329302566583342,-0.478261003923727,-0.028326380632352,0.166666666666666,0.010526459703119,-0.1259941888098
0.049772345569131,-0.333215274071279,-0.478261003923727,-0.028326380632352,0,-0.006798567083833,-0.1259941888098
